species,country,sum_gsv_scaled
Alopias superciliosus,Lebanon,15.046833600721806
Alopias superciliosus,Libya,NA
Alopias superciliosus,Malta,NA
Alopias superciliosus,Monaco,NA
Alopias superciliosus,Montenegro,NA
Alopias superciliosus,Morocco,NA
Alopias superciliosus,Romania,NA
Alopias superciliosus,Russia,NA
Alopias superciliosus,Slovenia,11.7296685601209
Alopias superciliosus,Spain,100
Alopias superciliosus,Syria,NA
Alopias superciliosus,Tunisia,NA
Alopias superciliosus,Turkey,2.272577828894807
Alopias superciliosus,Ukraine,1.4680282917790073
Alopias vulpinus,Albania,NA
Alopias vulpinus,Algeria,0.4013706953375084
Alopias vulpinus,Bosnia and Herzegovina,NA
Alopias vulpinus,Bulgaria,0.7675786111262224
Alopias vulpinus,Croatia,23.555199459071176
Alopias vulpinus,Cyprus,NA
Alopias vulpinus,Egypt,0.18294604819717755
Alopias vulpinus,France,31.019951881809998
Alopias vulpinus,Georgia,NA
Alopias vulpinus,Greece,0.8610184659703252
Alopias vulpinus,Israel,1.1843629910508766
Alopias vulpinus,Italy,45.19121631489746
Alopias vulpinus,Lebanon,NA
Alopias vulpinus,Libya,NA
Alopias vulpinus,Malta,NA
Alopias vulpinus,Monaco,100
Alopias vulpinus,Montenegro,NA
Alopias vulpinus,Morocco,0.691166236019786
Alopias vulpinus,Romania,0.5665846409427628
Alopias vulpinus,Russia,1.5270853020690072
Alopias vulpinus,Slovenia,8.63327974766259
Alopias vulpinus,Spain,10.994025606592743
Alopias vulpinus,Syria,NA
Alopias vulpinus,Tunisia,NA
Alopias vulpinus,Turkey,5.4177425888001505
Alopias vulpinus,Ukraine,0.14256457131899938
Alosa algeriensis,Albania,100
Alosa algeriensis,Algeria,NA
Alosa algeriensis,Bosnia and Herzegovina,66.48230633937288
Alosa algeriensis,Bulgaria,NA
Alosa algeriensis,Croatia,29.812506924466568
Alosa algeriensis,Cyprus,NA
Alosa algeriensis,Egypt,NA
Alosa algeriensis,France,NA
Alosa algeriensis,Georgia,NA
Alosa algeriensis,Greece,NA
Alosa algeriensis,Israel,6.734293755236561
Alosa algeriensis,Italy,NA
Alosa algeriensis,Lebanon,46.085137570741416
Alosa algeriensis,Libya,NA
Alosa algeriensis,Malta,NA
Alosa algeriensis,Monaco,NA
Alosa algeriensis,Montenegro,NA
Alosa algeriensis,Morocco,17.215637133236907
Alosa algeriensis,Romania,NA
Alosa algeriensis,Russia,NA
Alosa algeriensis,Slovenia,NA
Alosa algeriensis,Spain,NA
Alosa algeriensis,Syria,NA
Alosa algeriensis,Tunisia,68.95672905885509
Alosa algeriensis,Turkey,1.1770398566052096
Alosa algeriensis,Ukraine,NA
Alosa alosa,Albania,NA
Alosa alosa,Algeria,0.2212859167282386
Alosa alosa,Bosnia and Herzegovina,0.08298465923822107
Alosa alosa,Bulgaria,0.04051802450342625
Alosa alosa,Croatia,NA
Alosa alosa,Cyprus,11.493971454863484
Alosa alosa,Egypt,0.030290113405059854
Alosa alosa,France,0.5805419010590008
Alosa alosa,Georgia,NA
Alosa alosa,Greece,100
Alosa alosa,Israel,NA
Alosa alosa,Italy,0.25783109573783464
Alosa alosa,Lebanon,0.1515997715521456
Alosa alosa,Libya,0.33182041330929507
Alosa alosa,Malta,NA
Alosa alosa,Monaco,NA
Alosa alosa,Montenegro,NA
Alosa alosa,Morocco,0.26071831925064143
Alosa alosa,Romania,0.02072105793085398
Alosa alosa,Russia,0.007965716210057889
Alosa alosa,Slovenia,NA
Alosa alosa,Spain,0.8255074276213623
Alosa alosa,Syria,0.18724553589187007
Alosa alosa,Tunisia,0.10041242612693231
Alosa alosa,Turkey,1.221549404912915
Alosa alosa,Ukraine,0.01395592228138463
Alosa fallax,Albania,NA
Alosa fallax,Algeria,0.9219528699141969
Alosa fallax,Bosnia and Herzegovina,3.79080726162948
Alosa fallax,Bulgaria,2.545923573912833
Alosa fallax,Croatia,2.191704485119964
Alosa fallax,Cyprus,9.353195836916047
Alosa fallax,Egypt,NA
Alosa fallax,France,100
Alosa fallax,Georgia,9.322394481551813
Alosa fallax,Greece,51.671847990459106
Alosa fallax,Israel,NA
Alosa fallax,Italy,65.9227957196321
Alosa fallax,Lebanon,NA
Alosa fallax,Libya,NA
Alosa fallax,Malta,15.94812879816574
Alosa fallax,Monaco,NA
Alosa fallax,Montenegro,NA
Alosa fallax,Morocco,6.5240514076355645
Alosa fallax,Romania,NA
Alosa fallax,Russia,1.4863818055971887
Alosa fallax,Slovenia,3.1165353177744697
Alosa fallax,Spain,2.9484993935132495
Alosa fallax,Syria,NA
Alosa fallax,Tunisia,7.718198429161534
Alosa fallax,Turkey,67.38755157953504
Alosa fallax,Ukraine,0.9656895451079934
Aluterus monoceros,Albania,NA
Aluterus monoceros,Algeria,2.8164202721612233
Aluterus monoceros,Bosnia and Herzegovina,NA
Aluterus monoceros,Bulgaria,NA
Aluterus monoceros,Croatia,NA
Aluterus monoceros,Cyprus,17.44914750426127
Aluterus monoceros,Egypt,NA
Aluterus monoceros,France,0.2386992200981347
Aluterus monoceros,Georgia,14.162407234475822
Aluterus monoceros,Greece,NA
Aluterus monoceros,Israel,NA
Aluterus monoceros,Italy,0.4452981170157663
Aluterus monoceros,Lebanon,26.980700707503747
Aluterus monoceros,Libya,NA
Aluterus monoceros,Malta,NA
Aluterus monoceros,Monaco,NA
Aluterus monoceros,Montenegro,100
Aluterus monoceros,Morocco,3.418229557242436
Aluterus monoceros,Romania,NA
Aluterus monoceros,Russia,NA
Aluterus monoceros,Slovenia,NA
Aluterus monoceros,Spain,0.3698132813755757
Aluterus monoceros,Syria,NA
Aluterus monoceros,Tunisia,11.218806245535845
Aluterus monoceros,Turkey,0.35663294281165087
Aluterus monoceros,Ukraine,1.746623026273205
Ammodytes tobianus,Albania,30.681765514723548
Ammodytes tobianus,Algeria,NA
Ammodytes tobianus,Bosnia and Herzegovina,NA
Ammodytes tobianus,Bulgaria,3.633688842774617
Ammodytes tobianus,Croatia,NA
Ammodytes tobianus,Cyprus,11.398936071701335
Ammodytes tobianus,Egypt,NA
Ammodytes tobianus,France,100
Ammodytes tobianus,Georgia,NA
Ammodytes tobianus,Greece,10.509473076438562
Ammodytes tobianus,Israel,NA
Ammodytes tobianus,Italy,0.6093352846330177
Ammodytes tobianus,Lebanon,NA
Ammodytes tobianus,Libya,NA
Ammodytes tobianus,Malta,NA
Ammodytes tobianus,Monaco,NA
Ammodytes tobianus,Montenegro,35.94152472974324
Ammodytes tobianus,Morocco,2.9699105307769442
Ammodytes tobianus,Romania,3.4661692688574033
Ammodytes tobianus,Russia,0.765046624742982
Ammodytes tobianus,Slovenia,24.89584453800874
Ammodytes tobianus,Spain,0.83813710467169
Ammodytes tobianus,Syria,NA
Ammodytes tobianus,Tunisia,8.080577855860207
Ammodytes tobianus,Turkey,0.28945106663680875
Ammodytes tobianus,Ukraine,0.9140929328626283
Anarchias euryurus,Albania,NA
Anarchias euryurus,Algeria,4.788890463282107
Anarchias euryurus,Bosnia and Herzegovina,NA
Anarchias euryurus,Bulgaria,6.872101348868694
Anarchias euryurus,Croatia,NA
Anarchias euryurus,Cyprus,58.693906449473744
Anarchias euryurus,Egypt,NA
Anarchias euryurus,France,NA
Anarchias euryurus,Georgia,16.343175524833388
Anarchias euryurus,Greece,5.535693019528168
Anarchias euryurus,Israel,NA
Anarchias euryurus,Italy,0.5213707068709683
Anarchias euryurus,Lebanon,18.815895582119985
Anarchias euryurus,Libya,NA
Anarchias euryurus,Malta,NA
Anarchias euryurus,Monaco,NA
Anarchias euryurus,Montenegro,NA
Anarchias euryurus,Morocco,NA
Anarchias euryurus,Romania,NA
Anarchias euryurus,Russia,NA
